date,open,high,low,close,volume,Name
08-02-2013,15.07,15.12,14.63,14.75,8407500,AAL
11-02-2013,14.89,15.01,14.26,14.46,8882000,AAL
12-02-2013,14.45,14.51,14.1,14.27,8126000,AAL
13-02-2013,14.3,14.94,14.25,14.66,10259500,AAL
14-02-2013,14.94,14.96,13.16,13.99,31879900,AAL
15-02-2013,13.93,14.61,13.93,14.5,15628000,AAL
19-02-2013,14.33,14.56,14.08,14.26,11354400,AAL
20-02-2013,14.17,14.26,13.15,13.33,14725200,AAL
21-02-2013,13.62,13.95,12.9,13.37,11922100,AAL
22-02-2013,13.57,13.6,13.21,13.57,6071400,AAL
25-02-2013,13.6,13.76,13,13.02,7186400,AAL
26-02-2013,13.14,13.42,12.7,13.26,9419000,AAL
27-02-2013,13.28,13.62,13.18,13.41,7390500,AAL
28-02-2013,13.49,13.63,13.39,13.43,6143600,AAL
01-03-2013,13.37,13.95,13.32,13.61,7376800,AAL
04-03-2013,13.5,14.07,13.47,13.9,8174800,AAL
05-03-2013,14.01,14.05,13.71,14.05,7676100,AAL
06-03-2013,14.52,14.68,14.25,14.57,13243200,AAL
07-03-2013,14.7,14.93,14.5,14.82,9125300,AAL
